split,image_name,image_path,mask_path,has_mask,is_valid_pair,height,width,mask_height,mask_width,num_unique_labels,labels_present,ignore_ratio,dominant_label,dominant_label_name,brightness_mean,brightness_std,dark_ratio,bright_ratio,saturation_mean,edge_strength,r_mean,g_mean,b_mean
train,3b497cd7-74e42f29.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/images/train/3b497cd7-74e42f29.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/labels/train/3b497cd7-74e42f29_train_id.png,True,True,720,1280,720,1280,4,"0,5,9,255",0.6464583333333334,0,road,0.041546791791915894,0.08025266975164413,0.9445496961805555,4.774305555555556e-05,0.011062166653573513,0.0016694626538082957,0.04295862838625908,0.041437216103076935,0.037719205021858215
train,6bc3cef7-14c3b0b7.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/images/train/6bc3cef7-14c3b0b7.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/labels/train/6bc3cef7-14c3b0b7_train_id.png,True,True,720,1280,720,1280,6,"0,5,8,9,13,255",0.6973784722222223,0,road,0.018015682697296143,0.038076188415288925,0.9955392795138889,0.00028862847222222224,0.012394142337143421,0.0011124052107334137,0.021847262978553772,0.01748056150972843,0.010403787717223167
val,7e23ea75-d0830001.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/images/val/7e23ea75-d0830001.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/labels/val/7e23ea75-d0830001_train_id.png,True,True,720,1280,720,1280,5,"0,5,10,13,255",0.03899848090277778,10,sky,0.029609689489006996,0.0844539999961853,0.9648383246527777,0.002690972222222222,0.012539025396108627,0.002081511775031686,0.03034987486898899,0.029632551595568657,0.027116427198052406
train,59672860-71ba0000.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/images/train/59672860-71ba0000.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/labels/train/59672860-71ba0000_train_id.png,True,True,720,1280,720,1280,3,"0,10,255",0.22803385416666666,0,road,0.02248207852244377,0.06341885030269623,0.9913009982638888,0.002467447916666667,0.012610482051968575,0.0018155223224312067,0.024173663929104805,0.023059802129864693,0.014658179134130478
train,0e033c03-3042664b.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/images/train/0e033c03-3042664b.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/labels/train/0e033c03-3042664b_train_id.png,True,True,720,1280,720,1280,10,"0,2,5,7,8,9,10,13,14,255",0.231884765625,0,road,0.3950142562389374,0.2904892563819885,0.28960828993055554,0.24082790798611112,0.013444941490888596,0.007109182886779308,0.39695820212364197,0.39527711272239685,0.39232298731803894
train,44babb70-10b348cc.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/images/train/44babb70-10b348cc.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/labels/train/44babb70-10b348cc_train_id.png,True,True,720,1280,720,1280,8,"0,1,2,5,7,8,13,255",0.27626953125,0,road,0.08082306385040283,0.07137138396501541,0.978857421875,0.0016764322916666666,0.013784399256110191,0.0032281745225191116,0.0839269608259201,0.0802413821220398,0.0767223984003067
val,93505616-aeb546f8.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/images/val/93505616-aeb546f8.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/labels/val/93505616-aeb546f8_train_id.png,True,True,720,1280,720,1280,8,"0,3,4,5,8,9,13,255",0.3806282552083333,13,car,0.028690913692116737,0.059268392622470856,0.9738682725694444,0.00018880208333333333,0.014235613867640495,0.002036487217992544,0.029892485588788986,0.03005216084420681,0.018104225397109985
train,1b883059-144b2678.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/images/train/1b883059-144b2678.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/labels/train/1b883059-144b2678_train_id.png,True,True,720,1280,720,1280,5,"0,5,7,13,255",0.6811990017361111,13,car,0.053403791040182114,0.07930070161819458,0.9373904079861111,0.0009212239583333334,0.014372316189110279,0.0023269716184586287,0.05815734714269638,0.05241483822464943,0.04491550102829933
train,a310e8f3-65a5066d.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/images/train/a310e8f3-65a5066d.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/labels/train/a310e8f3-65a5066d_train_id.png,True,True,720,1280,720,1280,3,"3,13,255",0.6137923177083333,13,car,0.042547084391117096,0.06747572124004364,0.9824815538194445,0.0016145833333333333,0.014416199177503586,0.0013627009466290474,0.045414820313453674,0.04219823703169823,0.03586749732494354
train,73a1f742-63890001.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/images/train/73a1f742-63890001.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/labels/train/73a1f742-63890001_train_id.png,True,True,720,1280,720,1280,6,"0,2,7,10,13,255",0.5153927951388889,0,road,0.036142878234386444,0.06296658515930176,0.9891666666666666,0.0008355034722222222,0.014576375484466553,0.0019244435243308544,0.0418868288397789,0.03363665193319321,0.033244673162698746
