split,image_name,image_path,mask_path,has_mask,has_metadata,weather,timeofday,scene,condition
train,00054602-3bf57337.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/images/train/00054602-3bf57337.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/labels/train/00054602-3bf57337_train_id.png,True,True,clear,daytime,city street,day
train,00091078-59817bb0.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/images/train/00091078-59817bb0.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/labels/train/00091078-59817bb0_train_id.png,True,True,undefined,daytime,city street,day
train,0010bf16-a457685b.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/images/train/0010bf16-a457685b.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/labels/train/0010bf16-a457685b_train_id.png,True,True,undefined,daytime,city street,day
train,00495359-1d04dd8a.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/images/train/00495359-1d04dd8a.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/labels/train/00495359-1d04dd8a_train_id.png,True,True,clear,daytime,parking lot,day
train,0066b72f-974f6883.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/images/train/0066b72f-974f6883.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/labels/train/0066b72f-974f6883_train_id.png,True,True,partly cloudy,daytime,highway,day
train,006a7635-c42f9f97.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/images/train/006a7635-c42f9f97.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/labels/train/006a7635-c42f9f97_train_id.png,True,True,overcast,daytime,city street,day
train,00a395fe-d60c0b47.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/images/train/00a395fe-d60c0b47.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/labels/train/00a395fe-d60c0b47_train_id.png,True,True,overcast,daytime,city street,day
train,00a9cd6b-b39be004.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/images/train/00a9cd6b-b39be004.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/labels/train/00a9cd6b-b39be004_train_id.png,True,True,overcast,daytime,city street,day
train,00ad8a92-c4851839.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/images/train/00ad8a92-c4851839.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/labels/train/00ad8a92-c4851839_train_id.png,True,True,clear,daytime,residential,day
train,00d79c0a-23bea078.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/images/train/00d79c0a-23bea078.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/labels/train/00d79c0a-23bea078_train_id.png,True,True,clear,daytime,highway,day
