split,image_name,image_path,mask_path,has_mask,has_metadata,weather,timeofday,scene,condition
train,04629c39-1d564d8a.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/images/train/04629c39-1d564d8a.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/labels/train/04629c39-1d564d8a_train_id.png,True,True,rainy,daytime,city street,rain
train,051a273b-48b86bf6.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/images/train/051a273b-48b86bf6.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/labels/train/051a273b-48b86bf6_train_id.png,True,True,rainy,daytime,city street,rain
train,05771267-dd3b3df8.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/images/train/05771267-dd3b3df8.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/labels/train/05771267-dd3b3df8_train_id.png,True,True,rainy,daytime,city street,rain
train,06086d96-9282b1aa.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/images/train/06086d96-9282b1aa.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/labels/train/06086d96-9282b1aa_train_id.png,True,True,rainy,daytime,city street,rain
train,060b8e4f-d05f9e18.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/images/train/060b8e4f-d05f9e18.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/labels/train/060b8e4f-d05f9e18_train_id.png,True,True,rainy,undefined,undefined,rain
train,06791257-dc3df11b.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/images/train/06791257-dc3df11b.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/labels/train/06791257-dc3df11b_train_id.png,True,True,rainy,daytime,city street,rain
train,074496ba-19237a5b.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/images/train/074496ba-19237a5b.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/labels/train/074496ba-19237a5b_train_id.png,True,True,rainy,daytime,city street,rain
train,075d2e1d-971a3fea.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/images/train/075d2e1d-971a3fea.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/labels/train/075d2e1d-971a3fea_train_id.png,True,True,rainy,night,highway,rain
train,076399f2-e2bc0747.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/images/train/076399f2-e2bc0747.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/labels/train/076399f2-e2bc0747_train_id.png,True,True,rainy,daytime,city street,rain
train,08ad7534-3db5e60b.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/images/train/08ad7534-3db5e60b.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/labels/train/08ad7534-3db5e60b_train_id.png,True,True,rainy,daytime,highway,rain
train,08e3c891-54afd74c.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/images/train/08e3c891-54afd74c.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/labels/train/08e3c891-54afd74c_train_id.png,True,True,rainy,daytime,city street,rain
train,0919d0a6-b6ec5595.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/images/train/0919d0a6-b6ec5595.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/labels/train/0919d0a6-b6ec5595_train_id.png,True,True,rainy,daytime,city street,rain
train,0b4c8138-adfdfb43.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/images/train/0b4c8138-adfdfb43.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/labels/train/0b4c8138-adfdfb43_train_id.png,True,True,rainy,daytime,residential,rain
train,0cdaa475-135c7ac8.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/images/train/0cdaa475-135c7ac8.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/labels/train/0cdaa475-135c7ac8_train_id.png,True,True,rainy,daytime,city street,rain
train,0e8e5273-5fd9ed6c.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/images/train/0e8e5273-5fd9ed6c.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/labels/train/0e8e5273-5fd9ed6c_train_id.png,True,True,rainy,daytime,city street,rain
train,0efe0129-c499802e.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/images/train/0efe0129-c499802e.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/labels/train/0efe0129-c499802e_train_id.png,True,True,rainy,daytime,city street,rain
train,0f06d2de-7b9b4397.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/images/train/0f06d2de-7b9b4397.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/labels/train/0f06d2de-7b9b4397_train_id.png,True,True,rainy,daytime,city street,rain
