image_name,image_path,scene,scene_group,timeofday,weather,num_detections,has_drivable
bf3f6680-1b77d211.jpg,/Users/berkay/projects/daft-drive/DAFT-SegFormer-BDD100K/data/hf_bdd100k_yolop_global/images/train/bf3f6680-1b77d211.jpg,city street,city street,night,clear,25,True
c558f74c-8d36158e.jpg,/Users/berkay/projects/daft-drive/DAFT-SegFormer-BDD100K/data/hf_bdd100k_yolop_global/images/train/c558f74c-8d36158e.jpg,city street,city street,night,clear,14,True
bf4af26f-12121f1d.jpg,/Users/berkay/projects/daft-drive/DAFT-SegFormer-BDD100K/data/hf_bdd100k_yolop_global/images/train/bf4af26f-12121f1d.jpg,city street,city street,daytime,snowy,14,True
ca21055c-2050513f.jpg,/Users/berkay/projects/daft-drive/DAFT-SegFormer-BDD100K/data/hf_bdd100k_yolop_global/images/train/ca21055c-2050513f.jpg,highway,highway,dawn/dusk,partly cloudy,29,True
c0f89882-8961b4ed.jpg,/Users/berkay/projects/daft-drive/DAFT-SegFormer-BDD100K/data/hf_bdd100k_yolop_global/images/train/c0f89882-8961b4ed.jpg,highway,highway,night,clear,25,True
b6673f98-d6661115.jpg,/Users/berkay/projects/daft-drive/DAFT-SegFormer-BDD100K/data/hf_bdd100k_yolop_global/images/train/b6673f98-d6661115.jpg,city street,city street,daytime,partly cloudy,22,True
b3ae380d-76bac333.jpg,/Users/berkay/projects/daft-drive/DAFT-SegFormer-BDD100K/data/hf_bdd100k_yolop_global/images/train/b3ae380d-76bac333.jpg,residential,residential,daytime,snowy,6,True
bfe98b68-b1125889.jpg,/Users/berkay/projects/daft-drive/DAFT-SegFormer-BDD100K/data/hf_bdd100k_yolop_global/images/train/bfe98b68-b1125889.jpg,highway,highway,daytime,partly cloudy,6,True
b242f6b2-f5da110f.jpg,/Users/berkay/projects/daft-drive/DAFT-SegFormer-BDD100K/data/hf_bdd100k_yolop_global/images/train/b242f6b2-f5da110f.jpg,city street,city street,night,clear,41,True
b5e52b21-46c57b31.jpg,/Users/berkay/projects/daft-drive/DAFT-SegFormer-BDD100K/data/hf_bdd100k_yolop_global/images/train/b5e52b21-46c57b31.jpg,highway,highway,night,clear,14,True
c60db1dc-f8f24f9f.jpg,/Users/berkay/projects/daft-drive/DAFT-SegFormer-BDD100K/data/hf_bdd100k_yolop_global/images/train/c60db1dc-f8f24f9f.jpg,city street,city street,daytime,snowy,19,True
b35c8e3d-bc2c104b.jpg,/Users/berkay/projects/daft-drive/DAFT-SegFormer-BDD100K/data/hf_bdd100k_yolop_global/images/train/b35c8e3d-bc2c104b.jpg,city street,city street,night,clear,19,True
bd5bb58b-7c049603.jpg,/Users/berkay/projects/daft-drive/DAFT-SegFormer-BDD100K/data/hf_bdd100k_yolop_global/images/train/bd5bb58b-7c049603.jpg,city street,city street,night,clear,14,True
bbf2bd83-99456c75.jpg,/Users/berkay/projects/daft-drive/DAFT-SegFormer-BDD100K/data/hf_bdd100k_yolop_global/images/train/bbf2bd83-99456c75.jpg,city street,city street,night,clear,10,True
c05767da-e6e016b5.jpg,/Users/berkay/projects/daft-drive/DAFT-SegFormer-BDD100K/data/hf_bdd100k_yolop_global/images/train/c05767da-e6e016b5.jpg,highway,highway,daytime,clear,13,True
b6c771db-9c243cab.jpg,/Users/berkay/projects/daft-drive/DAFT-SegFormer-BDD100K/data/hf_bdd100k_yolop_global/images/train/b6c771db-9c243cab.jpg,highway,highway,night,clear,7,True
b7fcda2b-2e4d36ef.jpg,/Users/berkay/projects/daft-drive/DAFT-SegFormer-BDD100K/data/hf_bdd100k_yolop_global/images/train/b7fcda2b-2e4d36ef.jpg,city street,city street,daytime,rainy,39,True
c889c950-1bafea05.jpg,/Users/berkay/projects/daft-drive/DAFT-SegFormer-BDD100K/data/hf_bdd100k_yolop_global/images/train/c889c950-1bafea05.jpg,highway,highway,night,rainy,18,True
c748c1a1-f1338769.jpg,/Users/berkay/projects/daft-drive/DAFT-SegFormer-BDD100K/data/hf_bdd100k_yolop_global/images/train/c748c1a1-f1338769.jpg,city street,city street,daytime,rainy,20,True
b539383c-e6e6528d.jpg,/Users/berkay/projects/daft-drive/DAFT-SegFormer-BDD100K/data/hf_bdd100k_yolop_global/images/train/b539383c-e6e6528d.jpg,city street,city street,daytime,overcast,28,True
c6549c4a-525a2429.jpg,/Users/berkay/projects/daft-drive/DAFT-SegFormer-BDD100K/data/hf_bdd100k_yolop_global/images/train/c6549c4a-525a2429.jpg,highway,highway,night,clear,8,True
b388f9b2-a91718d0.jpg,/Users/berkay/projects/daft-drive/DAFT-SegFormer-BDD100K/data/hf_bdd100k_yolop_global/images/train/b388f9b2-a91718d0.jpg,city street,city street,night,clear,6,True
bb9071ac-9f4af9b1.jpg,/Users/berkay/projects/daft-drive/DAFT-SegFormer-BDD100K/data/hf_bdd100k_yolop_global/images/train/bb9071ac-9f4af9b1.jpg,highway,highway,daytime,clear,10,True
c6fea8ac-31b5f2f4.jpg,/Users/berkay/projects/daft-drive/DAFT-SegFormer-BDD100K/data/hf_bdd100k_yolop_global/images/train/c6fea8ac-31b5f2f4.jpg,highway,highway,night,clear,12,True
b8f63f02-c999a811.jpg,/Users/berkay/projects/daft-drive/DAFT-SegFormer-BDD100K/data/hf_bdd100k_yolop_global/images/train/b8f63f02-c999a811.jpg,residential,residential,daytime,clear,19,True
b97b9ee8-8fbf044e.jpg,/Users/berkay/projects/daft-drive/DAFT-SegFormer-BDD100K/data/hf_bdd100k_yolop_global/images/train/b97b9ee8-8fbf044e.jpg,city street,city street,dawn/dusk,partly cloudy,46,True
c0677163-8371743a.jpg,/Users/berkay/projects/daft-drive/DAFT-SegFormer-BDD100K/data/hf_bdd100k_yolop_global/images/train/c0677163-8371743a.jpg,residential,residential,daytime,clear,15,True
c7f97365-5be70930.jpg,/Users/berkay/projects/daft-drive/DAFT-SegFormer-BDD100K/data/hf_bdd100k_yolop_global/images/train/c7f97365-5be70930.jpg,city street,city street,night,foggy,14,True
b4f9084d-22f60127.jpg,/Users/berkay/projects/daft-drive/DAFT-SegFormer-BDD100K/data/hf_bdd100k_yolop_global/images/train/b4f9084d-22f60127.jpg,highway,highway,night,clear,17,True
c338bae4-b6f47a90.jpg,/Users/berkay/projects/daft-drive/DAFT-SegFormer-BDD100K/data/hf_bdd100k_yolop_global/images/train/c338bae4-b6f47a90.jpg,city street,city street,daytime,rainy,29,True
b85b0853-ea43f17c.jpg,/Users/berkay/projects/daft-drive/DAFT-SegFormer-BDD100K/data/hf_bdd100k_yolop_global/images/train/b85b0853-ea43f17c.jpg,highway,highway,night,clear,4,True
b9ed70c8-edc3834b.jpg,/Users/berkay/projects/daft-drive/DAFT-SegFormer-BDD100K/data/hf_bdd100k_yolop_global/images/train/b9ed70c8-edc3834b.jpg,city street,city street,night,clear,19,True
c6fa26d7-056d2a63.jpg,/Users/berkay/projects/daft-drive/DAFT-SegFormer-BDD100K/data/hf_bdd100k_yolop_global/images/train/c6fa26d7-056d2a63.jpg,city street,city street,daytime,clear,23,True
b4d18d1a-fca70785.jpg,/Users/berkay/projects/daft-drive/DAFT-SegFormer-BDD100K/data/hf_bdd100k_yolop_global/images/train/b4d18d1a-fca70785.jpg,highway,highway,night,clear,15,True
b9bd0109-531e640f.jpg,/Users/berkay/projects/daft-drive/DAFT-SegFormer-BDD100K/data/hf_bdd100k_yolop_global/images/train/b9bd0109-531e640f.jpg,city street,city street,daytime,clear,12,True
c3bfdcda-e1e6bd15.jpg,/Users/berkay/projects/daft-drive/DAFT-SegFormer-BDD100K/data/hf_bdd100k_yolop_global/images/train/c3bfdcda-e1e6bd15.jpg,city street,city street,daytime,undefined,24,True
bb2f678a-73bc87ec.jpg,/Users/berkay/projects/daft-drive/DAFT-SegFormer-BDD100K/data/hf_bdd100k_yolop_global/images/train/bb2f678a-73bc87ec.jpg,highway,highway,daytime,snowy,10,True
