condition,class,global_ap50,spec_ap50,gain
city_day,0,0.5469,0.638,0.0911
city_day,1,0.7321,0.826,0.0939
city_day,2,0.8019,0.8236,0.0217
city_day,3,0.5638,0.6641,0.1003
city_day,4,0.0,0.0,0.0
city_day,5,0.4102,0.6905,0.2803
city_day,6,0.6407,0.6891,0.0484
city_day,7,0.5207,0.6067,0.086
city_day,8,0.6231,0.6601,0.037
city_day,9,0.6203,0.6781,0.0578
city_day,10,0.995,0.995,0.0
city_day,11,0.1117,0.335,0.2233
city_day,12,0.7634,0.8532,0.0898
city_night,0,0.613,0.7338,0.1208
city_night,1,0.7545,0.8747,0.1202
city_night,2,0.7903,0.821,0.0307
city_night,3,0.542,0.6559,0.1139
city_night,5,0.187,0.5414,0.3544
city_night,6,0.625,0.6809,0.0559
city_night,7,0.4792,0.575,0.0958
city_night,8,0.604,0.6641,0.0601
city_night,9,0.674,0.7292,0.0552
city_night,11,0.0,0.4433,0.4433
city_night,12,0.7427,0.861,0.1183
highway_day,0,0.4762,0.6357,0.1595
highway_day,1,0.6197,0.7675,0.1478
highway_day,2,0.7455,0.7856,0.0401
highway_day,3,0.4434,0.4818,0.0384
highway_day,5,0.2043,0.8808,0.6765
highway_day,6,0.4717,0.601,0.1293
highway_day,7,0.3669,0.5255,0.1586
highway_day,8,0.5509,0.6189,0.068
highway_day,9,0.6991,0.7657,0.0666
highway_day,10,0.0,0.995,0.995
highway_day,11,0.4697,0.9126,0.4429
highway_day,12,0.6661,0.815,0.1489
highway_night,0,0.7194,0.8063,0.0869
highway_night,1,0.7561,0.905,0.1489
highway_night,2,0.7396,0.8046,0.065
highway_night,3,0.2376,0.5057,0.2681
highway_night,5,0.1967,0.795,0.5983
highway_night,6,0.4429,0.7006,0.2577
highway_night,7,0.3812,0.4775,0.0963
highway_night,8,0.5592,0.6587,0.0995
highway_night,9,0.7557,0.8257,0.07
highway_night,11,0.1218,0.995,0.8732
highway_night,12,0.7493,0.9054,0.1561
residential,0,0.5158,0.6953,0.1795
residential,1,0.677,0.8544,0.1774
residential,2,0.8214,0.8489,0.0275
residential,3,0.6773,0.8042,0.1269
residential,5,0.92,0.995,0.075
residential,6,0.5891,0.7075,0.1184
residential,7,0.491,0.6716,0.1806
residential,8,0.5715,0.6344,0.0629
residential,9,0.666,0.7455,0.0795
residential,12,0.7375,0.8813,0.1438
