split,image_name,image_path,mask_path,has_mask,is_valid_pair,height,width,mask_height,mask_width,num_unique_labels,labels_present,ignore_ratio,dominant_label,dominant_label_name,brightness_mean,brightness_std,dark_ratio,bright_ratio,saturation_mean,edge_strength,r_mean,g_mean,b_mean,night_score,rain_like_score,day_like_score
val,89c89c8b-3af79edf.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/images/val/89c89c8b-3af79edf.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/labels/val/89c89c8b-3af79edf_train_id.png,True,True,720,1280,720,1280,7,"0,1,2,5,8,13,255",0.35971137152777777,2,building,0.9010425209999084,0.14824718236923218,0.0,0.7851334635416667,0.13883592188358307,0.004747231490910053,0.8344564437866211,0.9228888750076294,0.9703879356384277,0.3133412,0.42953542,0.6890031
train,197c8ab8-da380001.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/images/train/197c8ab8-da380001.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/labels/train/197c8ab8-da380001_train_id.png,True,True,720,1280,720,1280,5,"0,8,10,13,255",0.1701095920138889,0,road,0.8179498314857483,0.20757809281349182,0.007595486111111111,0.6866753472222222,0.10102276504039764,0.01207871176302433,0.7748335599899292,0.8435640335083008,0.8010468482971191,0.3346251,0.40706947,0.6808111
train,016e76c0-7dc868eb.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/images/train/016e76c0-7dc868eb.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/labels/train/016e76c0-7dc868eb_train_id.png,True,True,720,1280,720,1280,10,"0,2,5,7,8,9,10,13,14,255",0.04595703125,10,sky,0.8448151350021362,0.20953983068466187,3.363715277777778e-05,0.6966059027777778,0.0489971749484539,0.004966382402926683,0.8523032665252686,0.8462910056114197,0.8283656239509583,0.34280515,0.42675462,0.6786972
train,0f89108b-3ab59119.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/images/train/0f89108b-3ab59119.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/labels/train/0f89108b-3ab59119_train_id.png,True,True,720,1280,720,1280,9,"0,2,4,5,8,10,13,15,255",0.3431228298611111,2,building,0.6701068878173828,0.24744394421577454,0.004313151041666667,0.3543565538194444,0.17740844190120697,0.01138022355735302,0.5795323848724365,0.7006768584251404,0.7493959069252014,0.34561473,0.35298932,0.6673248
train,1a6fc36a-a1027474.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/images/train/1a6fc36a-a1027474.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/labels/train/1a6fc36a-a1027474_train_id.png,True,True,720,1280,720,1280,7,"0,5,8,10,13,14,255",0.04255099826388889,8,vegetation,0.8131489157676697,0.15233376622200012,0.0023111979166666667,0.6165592447916667,0.15378959476947784,0.025545697659254074,0.7340401411056519,0.8518635630607605,0.817697286605835,0.345798,0.43572432,0.6555002
val,7f92cc43-edf59deb.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/images/val/7f92cc43-edf59deb.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/labels/val/7f92cc43-edf59deb_train_id.png,True,True,720,1280,720,1280,10,"0,2,3,5,7,8,10,13,14,255",0.130693359375,10,sky,0.9366636872291565,0.12489697337150574,0.0,0.8620345052083334,0.036959271878004074,0.0057799434289336205,0.9277222752571106,0.9467962384223938,0.9237593412399292,0.35586166,0.503138,0.654284
val,8ba9d3b5-93b37665.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/images/val/8ba9d3b5-93b37665.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/labels/val/8ba9d3b5-93b37665_train_id.png,True,True,720,1280,720,1280,5,"0,10,13,14,255",0.3388888888888889,10,sky,0.7070886492729187,0.20376203954219818,0.04767144097222222,0.5185427517361111,0.19091448187828064,0.004233674146234989,0.6858630180358887,0.7291120290756226,0.6447812914848328,0.355021,0.39235476,0.64987004
train,84c4f7f3-d128413b.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/images/train/84c4f7f3-d128413b.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/labels/train/84c4f7f3-d128413b_train_id.png,True,True,720,1280,720,1280,10,"0,1,2,5,7,8,10,13,17,255",0.19407877604166668,10,sky,0.6366207599639893,0.3011604845523834,0.07153428819444445,0.3814420572916667,0.0748341977596283,0.005630147643387318,0.5944769978523254,0.6535778641700745,0.6578779816627502,0.38473898,0.3739859,0.6476354
train,186ca5af-bbb863e1.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/images/train/186ca5af-bbb863e1.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/labels/train/186ca5af-bbb863e1_train_id.png,True,True,720,1280,720,1280,10,"0,3,5,7,8,9,10,13,14,255",0.14465277777777777,10,sky,0.6233240962028503,0.28984692692756653,0.06293294270833333,0.4938064236111111,0.11270084232091904,0.008055462501943111,0.5827447772026062,0.6455279588699341,0.6172793507575989,0.37965664,0.36589757,0.6468202
train,06a1b711-2db2a751.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/images/train/06a1b711-2db2a751.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/labels/train/06a1b711-2db2a751_train_id.png,True,True,720,1280,720,1280,12,"0,1,2,5,6,8,9,10,11,13,14,255",0.010768229166666667,8,vegetation,0.6419836282730103,0.2929052412509918,0.05361545138888889,0.3667491319444444,0.06792201846837997,0.028573669493198395,0.622627317905426,0.6522611975669861,0.6417674422264099,0.38754454,0.38176838,0.6443589
train,5cdfbd76-cc95179e.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/images/train/5cdfbd76-cc95179e.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/labels/train/5cdfbd76-cc95179e_train_id.png,True,True,720,1280,720,1280,9,"0,2,5,7,8,10,13,14,255",0.16983506944444443,10,sky,0.6110314726829529,0.15369632840156555,0.024710286458333335,0.088330078125,0.40663421154022217,0.008003856986761093,0.3623214066028595,0.7131858468055725,0.733005940914154,0.33088118,0.3406387,0.64256954
train,00e9be89-00001500.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/images/train/00e9be89-00001500.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/labels/train/00e9be89-00001500_train_id.png,True,True,720,1280,720,1280,10,"0,1,2,5,7,10,13,14,15,255",0.04659830729166667,10,sky,0.6585044860839844,0.2546701431274414,0.042713758680555554,0.4511599392361111,0.09905790537595749,0.006945591885596514,0.6138327121734619,0.6759844422340393,0.6802970767021179,0.38727465,0.3989986,0.635441
train,00e9be89-00001490.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/images/train/00e9be89-00001490.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/labels/train/00e9be89-00001490_train_id.png,True,True,720,1280,720,1280,10,"0,1,2,5,7,10,13,14,15,255",0.04613064236111111,10,sky,0.6590797901153564,0.2532702684402466,0.039046223958333334,0.44784071180555557,0.09906451404094696,0.006885221228003502,0.6147372722625732,0.6765548586845398,0.6802958846092224,0.3872891,0.39960766,0.63521594
train,6a3483f8-85900385.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/images/train/6a3483f8-85900385.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/labels/train/6a3483f8-85900385_train_id.png,True,True,720,1280,720,1280,11,"0,1,3,5,6,7,8,9,10,13,255",0.088759765625,0,road,0.6426819562911987,0.2671426832675934,0.07686197916666666,0.3989670138888889,0.10772114247083664,0.009276052005589008,0.5990448594093323,0.6614765524864197,0.6580521464347839,0.38851023,0.3912573,0.63511455
train,8283d288-c907d43d.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/images/train/8283d288-c907d43d.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/labels/train/8283d288-c907d43d_train_id.png,True,True,720,1280,720,1280,9,"0,5,7,8,9,10,13,14,255",0.043026258680555554,8,vegetation,0.5349922776222229,0.36569228768348694,0.23661458333333332,0.3716362847222222,0.10949961096048355,0.011643746867775917,0.4895886480808258,0.5477968454360962,0.5923627614974976,0.40315527,0.3413546,0.6350497
train,0bcbc8fe-5a52a282.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/images/train/0bcbc8fe-5a52a282.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/labels/train/0bcbc8fe-5a52a282_train_id.png,True,True,720,1280,720,1280,11,"0,1,2,5,6,7,8,9,10,13,255",0.012105034722222222,10,sky,0.44466423988342285,0.25249335169792175,0.12797526041666665,0.19367730034722222,0.4423872232437134,0.00995952170342207,0.2673089802265167,0.4876815378665924,0.6865918040275574,0.34929174,0.27250496,0.63500696
train,31547885-e8e7f4b3.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/images/train/31547885-e8e7f4b3.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/labels/train/31547885-e8e7f4b3_train_id.png,True,True,720,1280,720,1280,11,"0,1,2,4,5,7,8,9,10,13,255",0.20427083333333335,10,sky,0.6450632214546204,0.2617826759815216,0.04998263888888889,0.4844108072916667,0.10291814804077148,0.007051217369735241,0.6283735632896423,0.6563990712165833,0.6310322880744934,0.3886906,0.39365178,0.63466334
train,00e9be89-00001505.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/images/train/00e9be89-00001505.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/labels/train/00e9be89-00001505_train_id.png,True,True,720,1280,720,1280,10,"0,1,2,5,7,10,13,14,15,255",0.04726671006944445,10,sky,0.6554057002067566,0.2574769854545593,0.05007595486111111,0.45185655381944445,0.0975257009267807,0.007080919109284878,0.6109698414802551,0.6729822158813477,0.676787793636322,0.38883275,0.39902687,0.6344738
train,00e9be89-00001495.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/images/train/00e9be89-00001495.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/labels/train/00e9be89-00001495_train_id.png,True,True,720,1280,720,1280,10,"0,1,2,5,7,10,13,14,15,255",0.04879231770833333,10,sky,0.6482954025268555,0.261406809091568,0.05400173611111111,0.44804144965277776,0.09819065034389496,0.006738773547112942,0.6039289236068726,0.6656062602996826,0.6712374091148376,0.39010465,0.39680287,0.6337174
train,00e9be89-00001690.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/images/train/00e9be89-00001690.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/labels/train/00e9be89-00001690_train_id.png,True,True,720,1280,720,1280,8,"0,5,7,8,9,10,13,255",0.12406467013888889,10,sky,0.631338894367218,0.28929492831230164,0.13788411458333333,0.42694118923611113,0.09707356989383698,0.014609320089221,0.5940325856208801,0.6490268707275391,0.6339515447616577,0.39445928,0.3885336,0.6336685
