split,image_name,image_path,mask_path,has_mask,is_valid_pair,height,width,mask_height,mask_width,num_unique_labels,labels_present,ignore_ratio,dominant_label,dominant_label_name,brightness_mean,brightness_std,dark_ratio,bright_ratio,saturation_mean,edge_strength,r_mean,g_mean,b_mean,night_score,rain_like_score,day_like_score
train,6bc3cef7-14c3b0b7.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/images/train/6bc3cef7-14c3b0b7.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/labels/train/6bc3cef7-14c3b0b7_train_id.png,True,True,720,1280,720,1280,6,"0,5,8,9,13,255",0.6973784722222223,0,road,0.018015682697296143,0.038076188415288925,0.9955392795138889,0.00028862847222222224,0.012394142337143421,0.0011124052107334137,0.021847262978553772,0.01748056150972843,0.010403787717223167,0.99940884,0.9992611,0.00044332625
train,6f995cc3-c7d16d56.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/images/train/6f995cc3-c7d16d56.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/labels/train/6f995cc3-c7d16d56_train_id.png,True,True,720,1280,720,1280,4,"0,2,8,255",0.3440657552083333,0,road,0.021242374554276466,0.0390927791595459,0.9900466579861111,0.0001953125,0.01724807545542717,0.0013490000274032354,0.02609306201338768,0.020852545276284218,0.010221240110695362,0.99430513,0.9937258,0.0051610065
train,780469a2-55dd835f.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/images/train/780469a2-55dd835f.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/labels/train/780469a2-55dd835f_train_id.png,True,True,720,1280,720,1280,5,"0,1,3,5,255",0.6928971354166666,0,road,0.029878612607717514,0.043975066393613815,0.99380859375,8.680555555555556e-05,0.017079444602131844,0.0009838195983320475,0.036211345344781876,0.02836725488305092,0.020396091043949127,0.9879706,0.98765147,0.012246375
train,357506e4-3a64f522.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/images/train/357506e4-3a64f522.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/labels/train/357506e4-3a64f522_train_id.png,True,True,720,1280,720,1280,4,"0,1,5,255",0.44384657118055554,0,road,0.024419739842414856,0.04805023968219757,0.9940700954861111,0.0006412760416666666,0.017982181161642075,0.0010191481560468674,0.03171921148896217,0.022461706772446632,0.014940405264496803,0.9877237,0.9840629,0.013004217
train,2a37a9f8-d26c1997.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/images/train/2a37a9f8-d26c1997.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/labels/train/2a37a9f8-d26c1997_train_id.png,True,True,720,1280,720,1280,4,"0,5,8,255",0.5994368489583334,0,road,0.04356435313820839,0.05054982006549835,0.9915169270833334,0.0008192274305555556,0.018084537237882614,0.0014907554723322392,0.04717620089650154,0.04413602128624916,0.029950547963380814,0.9768212,0.97688144,0.024270125
train,bb793416-9423221d.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/images/train/bb793416-9423221d.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/labels/train/bb793416-9423221d_train_id.png,True,True,720,1280,720,1280,4,"0,7,8,255",0.5438172743055556,0,road,0.032536961138248444,0.049698542803525925,0.9772482638888889,0.0,0.025058526545763016,0.001278331270441413,0.04224253073334694,0.030287478119134903,0.018098032101988792,0.9772555,0.97333694,0.02293441
train,2f2b0a0c-918f0000.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/images/train/2f2b0a0c-918f0000.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/labels/train/2f2b0a0c-918f0000_train_id.png,True,True,720,1280,720,1280,9,"0,2,4,5,6,9,10,13,255",0.5397591145833334,10,sky,0.03993629291653633,0.039239946752786636,0.9942762586805556,0.00017903645833333332,0.04934171959757805,0.0029551207553595304,0.05666491016745567,0.037418432533741,0.008023600094020367,0.97184986,0.97272384,0.024077747
train,41de76bc-9cec11f0.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/images/train/41de76bc-9cec11f0.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/labels/train/41de76bc-9cec11f0_train_id.png,True,True,720,1280,720,1280,6,"0,1,5,9,13,255",0.6894292534722222,0,road,0.04394596070051193,0.05453033000230789,0.9859548611111111,0.00016167534722222223,0.018916595727205276,0.001483399886637926,0.048955921083688736,0.04331018775701523,0.03294172137975693,0.9730475,0.97104484,0.02854836
train,59672860-71ba0000.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/images/train/59672860-71ba0000.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/labels/train/59672860-71ba0000_train_id.png,True,True,720,1280,720,1280,3,"0,10,255",0.22803385416666666,0,road,0.02248207852244377,0.06341885030269623,0.9913009982638888,0.002467447916666667,0.012610482051968575,0.0018155223224312067,0.024173663929104805,0.023059802129864693,0.014658179134130478,0.98138034,0.9707583,0.022248024
train,c1978334-ee0b01df.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/images/train/c1978334-ee0b01df.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/labels/train/c1978334-ee0b01df_train_id.png,True,True,720,1280,720,1280,5,"0,2,3,10,255",0.21073350694444445,3,wall,0.04423253983259201,0.052727632224559784,0.9870041232638889,0.0005349392361111111,0.023193880915641785,0.0017499171663075686,0.05102311447262764,0.0431654192507267,0.03083370253443718,0.9722544,0.9707154,0.028596649
