split,image_name,image_path,mask_path,has_mask,is_valid_pair,height,width,mask_height,mask_width,num_unique_labels,labels_present,ignore_ratio,dominant_label,dominant_label_name,brightness_mean,brightness_std,dark_ratio,bright_ratio,saturation_mean,edge_strength,r_mean,g_mean,b_mean,lr_source,weather,timeofday,scene,condition,source,has_metadata
train,00054602-3bf57337.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/images/train/00054602-3bf57337.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/labels/train/00054602-3bf57337_train_id.png,True,True,720,1280,720,1280,10,"0,1,2,5,7,8,9,10,13,255",0.12190863715277778,1,sidewalk,0.3906335234642029,0.24000738561153412,0.2784841579861111,0.09544704861111111,0.12130239605903625,0.021372802555561066,0.36259010434150696,0.3997883200645447,0.4203011989593506,train_json,clear,daytime,city street,day,labels_release,True
train,00091078-59817bb0.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/images/train/00091078-59817bb0.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/labels/train/00091078-59817bb0_train_id.png,True,True,720,1280,720,1280,11,"0,1,2,5,6,7,10,13,14,15,255",0.04137478298611111,15,bus,0.2942257225513458,0.21230223774909973,0.41284071180555554,0.05228081597222222,0.07463844120502472,0.013395426794886589,0.2877602279186249,0.2916693091392517,0.3310876190662384,train_json,undefined,daytime,city street,day,labels_release,True
train,0010bf16-a457685b.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/images/train/0010bf16-a457685b.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/labels/train/0010bf16-a457685b_train_id.png,True,True,720,1280,720,1280,11,"0,1,2,5,6,7,8,10,13,15,255",0.29111219618055556,2,building,0.4201718866825104,0.26295384764671326,0.25830946180555553,0.12294379340277778,0.04495473578572273,0.021181665360927582,0.4316693842411041,0.41572636365890503,0.41576048731803894,train_json,undefined,daytime,city street,day,labels_release,True
train,00495359-1d04dd8a.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/images/train/00495359-1d04dd8a.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/labels/train/00495359-1d04dd8a_train_id.png,True,True,720,1280,720,1280,6,"0,2,8,10,13,255",0.014939236111111111,2,building,0.4829012155532837,0.28530386090278625,0.2819010416666667,0.19468532986111112,0.14956514537334442,0.0200810506939888,0.44813454151153564,0.49767589569091797,0.5002056956291199,train_json,clear,daytime,parking lot,day,labels_release,True
train,0066b72f-974f6883.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/images/train/0066b72f-974f6883.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/labels/train/0066b72f-974f6883_train_id.png,True,True,720,1280,720,1280,10,"0,2,3,4,5,7,8,10,13,255",0.32869249131944445,0,road,0.37845584750175476,0.23898647725582123,0.30830186631944445,0.07035047743055556,0.12337768077850342,0.010713559575378895,0.3317016065120697,0.39835241436958313,0.4033239185810089,train_json,partly cloudy,daytime,highway,day,labels_release,True
train,006a7635-c42f9f97.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/images/train/006a7635-c42f9f97.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/labels/train/006a7635-c42f9f97_train_id.png,True,True,720,1280,720,1280,11,"0,1,2,4,5,6,8,10,13,14,255",0.08997287326388889,2,building,0.3550918698310852,0.2136201411485672,0.2413693576388889,0.05918836805555556,0.04628807306289673,0.02352454513311386,0.35616958141326904,0.3556392192840576,0.35398295521736145,train_json,overcast,daytime,city street,day,labels_release,True
train,0096bcca-c2027ec4.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/images/train/0096bcca-c2027ec4.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/labels/train/0096bcca-c2027ec4_train_id.png,True,True,720,1280,720,1280,6,"0,1,5,7,13,255",0.6398394097222222,0,road,0.07118890434503555,0.0697607472538948,0.9616558159722223,0.001376953125,0.021196983754634857,0.0017851123120635748,0.07404646277427673,0.07164156436920166,0.059569817036390305,train_json,clear,night,undefined,night,labels_release,True
train,00a395fe-d60c0b47.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/images/train/00a395fe-d60c0b47.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/labels/train/00a395fe-d60c0b47_train_id.png,True,True,720,1280,720,1280,13,"0,1,2,5,7,8,10,11,12,13,17,18,255",0.167158203125,0,road,0.42607176303863525,0.22159738838672638,0.13580403645833333,0.07951388888888888,0.057583827525377274,0.016596533358097076,0.415778785943985,0.4284196197986603,0.44355887174606323,train_json,overcast,daytime,city street,day,labels_release,True
train,00a9cd6b-b39be004.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/images/train/00a9cd6b-b39be004.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/labels/train/00a9cd6b-b39be004_train_id.png,True,True,720,1280,720,1280,13,"0,1,2,3,4,5,6,7,8,9,10,13,255",0.25769748263888886,0,road,0.4520706832408905,0.21676591038703918,0.08877712673611111,0.06949001736111111,0.07508411258459091,0.009260091930627823,0.4563050866127014,0.4497019648551941,0.45541658997535706,train_json,overcast,daytime,city street,day,labels_release,True
train,00ad8a92-c4851839.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/images/train/00ad8a92-c4851839.jpg,/Users/berkay/datasets/bdd100k_seg/bdd100k/seg/labels/train/00ad8a92-c4851839_train_id.png,True,True,720,1280,720,1280,9,"0,1,2,5,7,8,10,13,255",0.19935763888888888,13,car,0.45696592330932617,0.2063182145357132,0.062307942708333335,0.11584309895833333,0.12229102104902267,0.017360594123601913,0.39027902483940125,0.48220938444137573,0.5038664937019348,train_json,clear,daytime,residential,day,labels_release,True
